dataset,label,vm_count,cluster,host_count,last_cpu_config,last_mem_config,sum_cpu_alloc,sum_cpu_config,sum_mem_alloc,sum_mem_config,last_cpu_alloc,last_mem_alloc
azure2017,oc1:0.0-oc2:0.0-oc3:1.0,500,vcluster,31,32,128,839,992,3831,3968,8,38
azure2017,oc1:0.0-oc2:0.0-oc3:1.0,500,oc1,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.0-oc2:0.0-oc3:1.0,500,oc2,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.0-oc2:0.0-oc3:1.0,500,oc3,31,32,128,839,992,3831,3968,8,38
azure2017,oc1:0.0-oc2:0.0-oc3:1.0,500,ocall,31,32,128,839,992,3831,3968,8,38
azure2017,oc1:0.0-oc2:0.25-oc3:0.75,500,vcluster,31,32,128,930,992,3764,3968,16,73
azure2017,oc1:0.0-oc2:0.25-oc3:0.75,500,oc1,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.0-oc2:0.25-oc3:0.75,500,oc2,11,32,128,324,352,963,1408,4,14
azure2017,oc1:0.0-oc2:0.25-oc3:0.75,500,oc3,23,32,128,599,736,2798,2944,0,0
azure2017,oc1:0.0-oc2:0.25-oc3:0.75,500,ocall,34,32,128,923,1088,3761,4352,4,14
azure2017,oc1:0.0-oc2:0.5-oc3:0.5,500,vcluster,32,32,128,1005,1024,3723,4096,18,60
azure2017,oc1:0.0-oc2:0.5-oc3:0.5,500,oc1,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.0-oc2:0.5-oc3:0.5,500,oc2,20,32,128,605,640,1870,2560,2,5
azure2017,oc1:0.0-oc2:0.5-oc3:0.5,500,oc3,15,32,128,398,480,1854,1920,18,81
azure2017,oc1:0.0-oc2:0.5-oc3:0.5,500,ocall,35,32,128,1003,1120,3724,4480,20,86
azure2017,oc1:0.0-oc2:0.75-oc3:0.25,500,vcluster,34,32,128,1070,1088,3635,4352,16,50
azure2017,oc1:0.0-oc2:0.75-oc3:0.25,500,oc1,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.0-oc2:0.75-oc3:0.25,500,oc2,28,32,128,872,896,2722,3584,10,35
azure2017,oc1:0.0-oc2:0.75-oc3:0.25,500,oc3,8,32,128,199,256,919,1024,10,40
azure2017,oc1:0.0-oc2:0.75-oc3:0.25,500,ocall,36,32,128,1071,1152,3641,4608,20,75
azure2017,oc1:0.0-oc2:1.0-oc3:0.0,500,vcluster,39,32,128,1232,1248,3816,4992,16,54
azure2017,oc1:0.0-oc2:1.0-oc3:0.0,500,oc1,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.0-oc2:1.0-oc3:0.0,500,oc2,39,32,128,1232,1248,3816,4992,16,54
azure2017,oc1:0.0-oc2:1.0-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.0-oc2:1.0-oc3:0.0,500,ocall,39,32,128,1232,1248,3816,4992,16,54
azure2017,oc1:0.25-oc2:0.0-oc3:0.75,500,vcluster,38,32,128,1173,1216,4207,4864,6,14
azure2017,oc1:0.25-oc2:0.0-oc3:0.75,500,oc1,19,32,128,606,608,1548,2432,31,99
azure2017,oc1:0.25-oc2:0.0-oc3:0.75,500,oc2,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.25-oc2:0.0-oc3:0.75,500,oc3,22,32,128,569,704,2659,2816,7,23
azure2017,oc1:0.25-oc2:0.0-oc3:0.75,500,ocall,41,32,128,1175,1312,4207,5248,38,122
azure2017,oc1:0.25-oc2:0.25-oc3:0.5,500,vcluster,43,32,128,1353,1376,4377,5504,12,28
azure2017,oc1:0.25-oc2:0.25-oc3:0.5,500,oc1,21,32,128,652,672,1513,2688,16,70
azure2017,oc1:0.25-oc2:0.25-oc3:0.5,500,oc2,9,32,128,270,288,850,1152,14,29
azure2017,oc1:0.25-oc2:0.25-oc3:0.5,500,oc3,16,32,128,433,512,2012,2048,23,120
azure2017,oc1:0.25-oc2:0.25-oc3:0.5,500,ocall,46,32,128,1355,1472,4375,5888,53,219
azure2017,oc1:0.25-oc2:0.5-oc3:0.25,500,vcluster,43,32,128,1352,1376,3810,5504,13,31
azure2017,oc1:0.25-oc2:0.5-oc3:0.25,500,oc1,18,32,128,565,576,1048,2304,24,42
azure2017,oc1:0.25-oc2:0.5-oc3:0.25,500,oc2,19,32,128,584,608,1851,2432,9,30
azure2017,oc1:0.25-oc2:0.5-oc3:0.25,500,oc3,8,32,128,202,256,915,1024,10,40
azure2017,oc1:0.25-oc2:0.5-oc3:0.25,500,ocall,45,32,128,1351,1440,3814,5760,43,112
azure2017,oc1:0.25-oc2:0.75-oc3:0.0,500,vcluster,47,32,128,1488,1504,4006,6016,17,61
azure2017,oc1:0.25-oc2:0.75-oc3:0.0,500,oc1,19,32,128,575,608,1161,2432,8,14
azure2017,oc1:0.25-oc2:0.75-oc3:0.0,500,oc2,29,32,128,911,928,2853,3712,16,56
azure2017,oc1:0.25-oc2:0.75-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.25-oc2:0.75-oc3:0.0,500,ocall,48,32,128,1486,1536,4014,6144,24,70
azure2017,oc1:0.5-oc2:0.0-oc3:0.5,500,vcluster,51,32,128,1581,1632,4544,6528,2,3
azure2017,oc1:0.5-oc2:0.0-oc3:0.5,500,oc1,37,32,128,1170,1184,2629,4736,26,45
azure2017,oc1:0.5-oc2:0.0-oc3:0.5,500,oc2,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.5-oc2:0.0-oc3:0.5,500,oc3,16,32,128,414,512,1917,2048,4,17
azure2017,oc1:0.5-oc2:0.0-oc3:0.5,500,ocall,53,32,128,1584,1696,4546,6784,30,62
azure2017,oc1:0.5-oc2:0.25-oc3:0.25,500,vcluster,54,32,128,1688,1728,4714,6912,22,49
azure2017,oc1:0.5-oc2:0.25-oc3:0.25,500,oc1,37,32,128,1140,1184,2696,4736,12,21
azure2017,oc1:0.5-oc2:0.25-oc3:0.25,500,oc2,10,32,128,311,320,964,1280,23,67
azure2017,oc1:0.5-oc2:0.25-oc3:0.25,500,oc3,9,32,128,238,288,1067,1152,13,53
azure2017,oc1:0.5-oc2:0.25-oc3:0.25,500,ocall,56,32,128,1689,1792,4727,7168,48,141
azure2017,oc1:0.5-oc2:0.5-oc3:0.0,500,vcluster,59,32,128,1860,1888,4552,7552,22,42
azure2017,oc1:0.5-oc2:0.5-oc3:0.0,500,oc1,41,32,128,1275,1312,2733,5248,16,28
azure2017,oc1:0.5-oc2:0.5-oc3:0.0,500,oc2,19,32,128,584,608,1834,2432,8,20
azure2017,oc1:0.5-oc2:0.5-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.5-oc2:0.5-oc3:0.0,500,ocall,60,32,128,1859,1920,4567,7680,24,48
azure2017,oc1:0.75-oc2:0.0-oc3:0.25,500,vcluster,64,32,128,2030,2048,4958,8192,29,50
azure2017,oc1:0.75-oc2:0.0-oc3:0.25,500,oc1,58,32,128,1818,1856,4021,7424,13,22
azure2017,oc1:0.75-oc2:0.0-oc3:0.25,500,oc2,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.75-oc2:0.0-oc3:0.25,500,oc3,8,32,128,214,256,949,1024,17,67
azure2017,oc1:0.75-oc2:0.0-oc3:0.25,500,ocall,66,32,128,2032,2112,4970,8448,30,89
azure2017,oc1:0.75-oc2:0.25-oc3:0.0,500,vcluster,65,32,128,2062,2080,4811,8320,28,59
azure2017,oc1:0.75-oc2:0.25-oc3:0.0,500,oc1,55,32,128,1733,1760,3798,7040,12,21
azure2017,oc1:0.75-oc2:0.25-oc3:0.0,500,oc2,11,32,128,327,352,1022,1408,7,18
azure2017,oc1:0.75-oc2:0.25-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
azure2017,oc1:0.75-oc2:0.25-oc3:0.0,500,ocall,66,32,128,2060,2112,4820,8448,19,39
azure2017,oc1:1.0-oc2:0.0-oc3:0.0,500,vcluster,76,32,128,2381,2432,5483,9728,18,31
azure2017,oc1:1.0-oc2:0.0-oc3:0.0,500,oc1,76,32,128,2381,2432,5483,9728,18,31
azure2017,oc1:1.0-oc2:0.0-oc3:0.0,500,oc2,0,0,0,0,0,0,0,0,0
azure2017,oc1:1.0-oc2:0.0-oc3:0.0,500,oc3,0,0,0,0,0,0,0,0,0
azure2017,oc1:1.0-oc2:0.0-oc3:0.0,500,ocall,76,32,128,2381,2432,5483,9728,18,31
